Barrie, (47045) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382338
Longitude,-79.702446
Elevation, 226 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Fine Particulate Matter,2022-01-01,30,43,21,20,18,16,15,15,17,20,16,11,8,5,4,3,3,3,3,3,3,2,2,2,
47045,Fine Particulate Matter,2022-01-02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,5,4,4,4,4,
47045,Fine Particulate Matter,2022-01-03,3,3,8,4,4,4,5,5,4,5,4,4,4,5,4,4,5,6,8,7,8,8,7,7,
47045,Fine Particulate Matter,2022-01-04,7,8,9,10,10,13,14,15,17,18,17,16,14,13,10,9,7,9,10,9,9,9,11,12,
47045,Fine Particulate Matter,2022-01-05,8,6,6,5,5,5,5,4,3,3,4,5,6,6,5,5,6,9,6,8,9,9,7,6,
47045,Fine Particulate Matter,2022-01-06,6,6,6,6,6,7,9,3,3,4,3,3,3,3,3,4,4,5,6,5,5,5,4,4,
47045,Fine Particulate Matter,2022-01-07,3,4,3,3,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,
47045,Fine Particulate Matter,2022-01-08,3,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,8,8,8,7,7,6,6,6,
47045,Fine Particulate Matter,2022-01-09,7,7,8,8,6,5,3,3,5,6,7,5,9,10,11,6,6,5,4,3,2,2,2,2,
47045,Fine Particulate Matter,2022-01-10,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,4,4,5,5,5,
47045,Fine Particulate Matter,2022-01-11,6,6,6,6,6,6,7,8,11,9,8,8,9,9,11,11,12,12,10,8,7,7,7,7,
47045,Fine Particulate Matter,2022-01-12,7,7,7,8,9,9,10,11,12,9999,9999,9999,19,17,17,15,16,14,10,13,12,8,8,9,
47045,Fine Particulate Matter,2022-01-13,11,11,11,12,12,11,10,9,10,10,8,5,5,4,3,3,3,8,4,4,6,6,5,4,
47045,Fine Particulate Matter,2022-01-14,3,2,2,2,3,3,3,3,3,2,3,3,3,3,3,4,3,4,3,3,3,3,3,4,
47045,Fine Particulate Matter,2022-01-15,5,6,5,5,6,5,5,4,5,5,5,5,5,5,6,6,7,8,15,15,18,17,15,11,
47045,Fine Particulate Matter,2022-01-16,9,8,9,9,9,8,8,11,10,8,7,8,8,8,7,6,6,6,5,5,5,5,5,5,
47045,Fine Particulate Matter,2022-01-17,4,4,3,3,3,3,3,2,3,3,3,3,4,5,5,5,5,5,5,5,4,4,3,4,
47045,Fine Particulate Matter,2022-01-18,3,2,3,2,1,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5,6,7,6,6,
47045,Fine Particulate Matter,2022-01-19,11,19,16,14,13,12,12,13,13,15,15,11,8,4,2,2,3,2,2,1,2,3,3,4,
47045,Fine Particulate Matter,2022-01-20,4,5,5,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4,5,6,5,4,6,7,
47045,Fine Particulate Matter,2022-01-21,2,2,2,2,2,3,2,3,4,5,4,4,4,4,5,6,8,9,7,14,12,18,7,18,
47045,Fine Particulate Matter,2022-01-22,11,11,10,11,11,12,12,11,10,11,10,8,8,9,10,10,10,12,14,16,18,17,16,12,
47045,Fine Particulate Matter,2022-01-23,3,3,3,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,3,2,3,4,5,
47045,Fine Particulate Matter,2022-01-24,5,6,5,5,5,2,2,2,3,3,3,3,4,6,5,5,8,12,20,16,17,18,17,17,
47045,Fine Particulate Matter,2022-01-25,19,21,16,8,4,3,2,2,3,3,3,4,4,4,4,4,4,5,4,3,4,4,5,5,
47045,Fine Particulate Matter,2022-01-26,6,8,7,6,5,5,4,5,5,4,4,5,5,6,7,7,6,7,9,19,12,16,12,4,
47045,Fine Particulate Matter,2022-01-27,4,5,5,5,5,5,8,11,11,11,10,10,9,8,10,11,13,13,15,17,18,16,11,5,
47045,Fine Particulate Matter,2022-01-28,2,2,2,2,2,3,3,4,4,4,4,4,6,6,6,5,6,7,7,7,6,6,6,9,
47045,Fine Particulate Matter,2022-01-29,11,10,8,8,7,8,7,8,8,10,5,5,7,7,6,6,7,9,12,15,12,12,9,8,
47045,Fine Particulate Matter,2022-01-30,7,9,8,7,6,6,6,6,9,11,11,12,11,13,13,13,17,18,18,20,21,19,22,23,
47045,Fine Particulate Matter,2022-01-31,18,18,19,20,30,23,23,25,29,27,21,19,20,21,21,18,12,10,14,23,23,24,23,23,
47045,Fine Particulate Matter,2022-02-01,19,16,13,9,5,3,3,5,9,23,30,29,27,26,26,24,23,22,21,17,15,15,14,14,
47045,Fine Particulate Matter,2022-02-02,14,10,10,10,11,12,13,16,17,19,21,22,21,7,2,2,3,3,3,2,2,2,2,2,
47045,Fine Particulate Matter,2022-02-03,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,3,
47045,Fine Particulate Matter,2022-02-04,3,4,4,3,3,3,4,4,5,5,5,5,6,6,5,5,6,7,8,8,7,6,6,6,
47045,Fine Particulate Matter,2022-02-05,5,5,4,3,3,3,4,3,4,3,3,3,3,3,3,3,5,6,6,10,11,11,8,7,
47045,Fine Particulate Matter,2022-02-06,8,6,4,4,5,13,14,13,13,13,13,13,14,14,13,13,13,12,12,11,9,9,9,10,
47045,Fine Particulate Matter,2022-02-07,12,13,14,15,17,19,20,20,20,20,19,18,18,19,19,18,17,17,18,21,25,26,24,30,
