weather_station_id,lat,lon
3920,51.45,-90.22
3932,48.63,-93.97
3966,49.65,-93.72
3987,50.29,-88.91
4057,49.03,-90.47
4061,48.37,-89.12
4121,46.19,-82.02
4140,49.38,-82.12
4168,51.27,-80.65
4236,44.6,-75.67
4243,46.05,-77.37
4255,45.02,-74.75
4268,45.03,-76.25
4287,44.43,-76.69
4308,44.52,-76.08
4333,45.38,-75.72
4352,45.95,-77.32
4377,45.29,-75.06
4432,44.63,-79.54
4509,44.4,-79.63
4525,44.26,-79.16
4575,44.17,-81.62
4603,43.86,-81.15
4607,42.1,-83.09
4635,42.88,-78.97
4647,42.04,-82.67
4656,42.51,-81.64
4671,42.88,-79.25
4680,43.04,-79.33
4689,42.77,-81.21
4699,42.86,-80.72
4715,42.33,-82.93
4760,43.73,-80.33
4761,43.7,-80.38
4765,43.68,-80.71
4816,43.35,-80.47
4823,43.37,-81.0
4835,43.14,-80.77
4859,44.15,-77.39
4898,44.4,-76.91
4905,43.97,-78.18
4923,43.64,-79.88
4996,43.87,-78.83
5126,44.12,-77.53
5170,45.03,-78.53
6900,45.88,-77.25
6901,45.19,-76.11
6904,44.6,-79.44
7582,47.33,-85.83
7633,49.75,-84.16
7733,45.03,-80.37
7747,43.77,-81.72
7790,43.25,-79.22
7844,43.98,-80.75
7868,43.3,-79.8
7870,43.95,-78.17
7925,43.83,-77.15
7981,45.63,-82.95
8997,45.97,-81.48
9004,45.33,-81.73
9005,42.87,-79.25
9006,42.25,-81.9
9026,42.53,-80.05
10197,54.98,-85.43
10220,48.76,-91.63
10244,52.2,-87.94
10899,49.47,-94.76
10903,44.42,-75.85
10911,44.55,-79.22
10955,44.5,-80.22
10999,43.03,-81.15
26773,45.05,-76.78
26799,45.07,-77.88
26953,43.78,-79.47
27528,42.87,-80.55
27529,43.29,-79.91
27533,41.95,-82.52
27534,45.0,-75.63
27535,48.15,-80.0
27604,44.23,-79.78
27647,42.98,-81.64
27674,49.15,-88.34
27865,50.63,-93.22
29516,44.27,-79.91
29846,43.27,-79.78
30266,42.03,-82.9
30435,49.41,-82.44
30455,49.66,-93.73
30578,45.38,-75.72
30682,48.37,-89.33
30723,44.12,-77.53
31010,44.22,-78.95
31367,43.18,-79.4
31688,43.67,-79.4
32128,45.34,-80.04
32473,42.45,-81.88
41738,45.25,-74.96
41983,43.65,-80.42
42123,51.29,-80.62
42183,44.48,-79.55
42967,45.53,-78.27
43046,44.27,-80.71
43104,49.69,-88.31
43540,44.27,-79.32
43763,44.35,-78.3
44123,43.18,-79.56
44183,45.14,-79.4
44205,44.17,-78.5
44283,42.97,-79.33
44303,45.43,-79.49
44323,43.0,-82.3
44324,48.41,-89.28
44343,48.76,-92.62
44987,44.55,-80.47
45407,43.55,-80.22
45607,45.23,-81.63
45667,43.51,-79.69
46507,48.65,-93.44
47267,44.22,-76.6
47307,49.79,-94.38
47527,45.95,-77.32
47547,48.56,-81.39
47567,44.64,-75.75
47687,47.7,-79.85
48368,44.97,-79.3
48372,45.88,-82.57
48373,43.0,-82.31
48549,43.63,-79.4
48569,43.46,-80.38
48649,43.92,-78.88
48788,45.88,-82.57
48869,49.83,-92.74
48950,51.29,-80.61
48952,44.23,-78.36
49068,45.86,-77.25
49389,48.37,-89.32
49488,53.82,-89.9
49489,47.7,-79.85
49508,46.63,-80.8
49568,45.32,-75.67
49848,48.61,-86.29
49908,43.17,-79.94
50048,44.39,-79.74
50092,46.49,-84.51
50093,43.03,-81.15
50131,43.19,-79.17
50132,48.37,-89.32
50248,51.07,-93.79
50428,44.23,-76.6
50460,48.57,-81.38
50637,44.1,-79.16
50722,53.44,-91.76
50723,53.06,-93.34
50839,46.36,-79.42
50840,46.63,-80.8
50857,53.82,-89.89
51137,49.79,-94.36
51138,50.11,-91.91
51219,56.02,-87.68
51237,52.2,-87.93
51459,43.68,-79.63
51938,44.03,-80.02
51958,47.72,-84.81
52118,42.31,-82.08
52318,46.36,-79.42
52338,48.76,-86.35
52418,51.45,-90.21
52419,51.07,-93.79
52604,49.41,-82.47
52818,47.97,-84.79
52878,54.99,-85.44
52898,51.66,-85.9
52900,50.29,-88.91
52918,52.93,-82.43
52985,44.23,-76.6
52998,47.97,-84.79
53000,43.19,-79.17
53138,48.76,-86.35
53139,44.74,-81.11
53378,43.14,-80.33
53519,49.78,-86.94
53602,47.82,-83.35
53603,47.82,-83.35
53618,46.22,-80.3
54239,43.86,-79.37
54240,49.78,-86.99
54259,44.74,-81.11
54260,49.41,-82.47
54378,48.47,-89.27
54604,46.38,-79.4
54605,50.11,-91.91
54606,48.82,-87.09
54738,42.28,-82.96
54838,46.48,-84.52
54858,49.78,-86.93
54958,43.96,-79.57
55238,44.16,-77.44
55258,47.82,-83.36
55299,43.54,-80.22
55360,42.27,-82.02
55361,51.66,-85.9
55362,52.94,-91.32
55365,44.35,-78.28
55367,48.09,-80.06
55379,51.26,-80.66
55778,44.5,-80.05
