date,region,pm25_region_daily_avg,fire_count_50km_avg,fire_count_100km_avg,frp_sum_100km_avg,min_fire_distance_km,min_fire_distance_missing,longitude_x,latitude_y,month,day,max_temp_degc,min_temp_degc,mean_temp_degc,heat_deg_days_degc,cool_deg_days_degc,total_rain_mm,total_snow_cm,total_precip_mm,snow_on_grnd_cm,dir_of_max_gust_10s_deg,spd_of_max_gust_km_h,year,dir_of_max_gust_deg,pm25_label
2020-01-01,Algoma District,3.208333333333333,0.0,0.0,0.0,1121.1647374762017,0.0,-84.515,46.485,1.0,1.0,-0.7,-5.15,-2.9,20.9,0.0,0.0,0.4,0.1,24.0,27.5,41.0,2020.0,275.0,7.083333333333333
2020-01-02,Algoma District,7.083333333333333,0.0,0.0,0.0,2495.686088119716,0.0,-84.515,46.485,1.0,2.0,1.95,-4.449999999999999,-1.25,19.25,0.0,1.6,1.0,2.2,22.5,28.0,33.0,2020.0,280.0,2.875
2020-01-03,Algoma District,2.875,0.0,0.0,0.0,2506.1333947438666,0.0,-84.515,46.485,1.0,3.0,1.4,-1.9,-0.25,18.25,0.0,0.0,0.2,0.25,19.0,28.5,39.5,2020.0,285.0,2.5
2020-01-04,Algoma District,2.5,0.0,0.0,0.0,953.8291957260144,0.0,-84.515,46.485,1.0,4.0,-1.5,-3.75,-2.65,20.65,0.0,0.0,2.8,1.8,18.5,32.0,36.0,2020.0,320.0,3.458333333333333
2020-01-05,Algoma District,3.458333333333333,0.0,0.0,0.0,1376.6363554159589,0.0,-84.515,46.485,1.0,5.0,-0.1,-4.300000000000001,-2.2,20.200000000000003,0.0,0.0,14.6,9.55,21.5,29.5,52.0,2020.0,295.0,4.291666666666667
2020-01-06,Algoma District,4.291666666666667,0.0,0.0,0.0,1089.2075822242073,0.0,-84.515,46.485,1.0,6.0,-0.3,-9.25,-4.800000000000001,22.8,0.0,0.0,11.4,4.2,28.5,29.0,63.5,2020.0,290.0,4.5
2020-01-07,Algoma District,4.5,0.0,0.0,0.0,1265.3009105105907,0.0,-84.515,46.485,1.0,7.0,1.2,-10.5,-4.65,22.65,0.0,0.0,4.6,1.9,31.0,30.5,56.5,2020.0,305.0,2.708333333333333
2020-01-08,Algoma District,2.708333333333333,0.0,0.0,0.0,2889.849345918657,0.0,-84.515,46.485,1.0,8.0,-7.550000000000001,-13.8,-10.65,28.65,0.0,0.0,5.4,2.25,31.5,32.5,57.0,2020.0,325.0,3.25
2020-01-09,Algoma District,3.25,0.0,0.0,0.0,2343.995175361912,0.0,-84.515,46.485,1.0,9.0,0.3,-13.3,-6.5,24.5,0.0,1.0,0.0,1.25,32.5,13.5,52.0,2020.0,135.0,7.791666666666667
2020-01-10,Algoma District,7.791666666666667,0.0,0.0,0.0,1964.828316556884,0.0,-84.515,46.485,1.0,10.0,2.85,-1.5499999999999998,0.65,17.35,0.0,0.0,0.0,0.05,28.5,28.0,37.0,2020.0,280.0,1.8333333333333333
2020-01-11,Algoma District,1.8333333333333333,0.0,0.0,0.0,1561.862699043389,0.0,-84.515,46.485,1.0,11.0,-1.5,-13.45,-7.5,25.5,0.0,0.0,2.6,1.6,29.5,35.0,41.0,2020.0,170.0,2.75
2020-01-12,Algoma District,2.75,0.0,0.0,0.0,2480.1095922532386,0.0,-84.515,46.485,1.0,12.0,-11.2,-14.85,-13.05,31.05,0.0,0.0,0.2,0.0,29.0,7.5,35.5,2020.0,75.0,3.333333333333333
2020-01-13,Algoma District,3.333333333333333,0.0,0.0,0.0,4000.0,1.0,-84.515,46.485,1.0,13.0,-5.4,-12.1,-8.75,26.75,0.0,0.0,0.2,0.0,29.0,8.0,33.0,2020.0,80.0,5.333333333333333
2020-01-14,Algoma District,5.333333333333333,0.0,0.0,0.0,2463.57899100786,0.0,-84.515,46.485,1.0,14.0,0.85,-5.45,-2.3,20.3,0.0,0.0,1.0,1.0,29.5,27.0,38.5,2020.0,270.0,3.375
2020-01-15,Algoma District,3.375,0.0,0.0,0.0,2349.3789344296256,0.0,-84.515,46.485,1.0,15.0,0.3,-1.95,-0.8500000000000001,18.85,0.0,0.0,0.6,0.15,30.0,26.0,41.0,2020.0,260.0,2.583333333333333
2020-01-16,Algoma District,2.583333333333333,0.0,0.0,0.0,1431.1304220198926,0.0,-84.515,46.485,1.0,16.0,-1.55,-11.7,-6.65,24.65,0.0,0.0,2.6,1.05,31.0,34.0,47.5,2020.0,340.0,3.0
2020-01-17,Algoma District,3.0,0.0,0.0,0.0,2946.7836304828643,0.0,-84.515,46.485,1.0,17.0,-8.4,-13.8,-11.1,29.1,0.0,0.0,0.4,0.0,30.0,9.0,38.0,2020.0,90.0,2.708333333333333
2020-01-18,Algoma District,2.708333333333333,0.0,0.0,0.0,1550.0974134520543,0.0,-84.515,46.485,1.0,18.0,-6.55,-11.35,-8.95,26.95,0.0,0.0,10.6,6.550000000000001,29.0,10.5,52.5,2020.0,105.0,1.875
2020-01-19,Algoma District,1.875,0.0,0.0,0.0,2667.447252233322,0.0,-84.515,46.485,1.0,19.0,-6.7,-20.9,-13.8,31.8,0.0,0.0,0.0,0.05,38.0,34.0,39.0,2020.0,340.0,3.0416666666666665
2020-01-20,Algoma District,3.0416666666666665,0.0,0.0,0.0,531.8336718839596,0.0,-84.515,46.485,1.0,20.0,-3.45,-22.200000000000003,-12.85,30.85,0.0,0.0,1.2,0.1,37.5,31.0,42.0,2020.0,310.0,8.5
2020-01-21,Algoma District,8.5,0.0,0.0,0.0,1814.737727401744,0.0,-84.515,46.485,1.0,21.0,-1.4500000000000002,-8.0,-4.7,22.7,0.0,0.0,0.0,0.0,37.0,23.0,41.5,2020.0,230.0,8.416666666666666
2020-01-22,Algoma District,8.416666666666666,0.0,0.0,0.0,1431.1361649109303,0.0,-84.515,46.485,1.0,22.0,1.05,-1.6,-0.3,18.3,0.0,0.0,7.4,5.15,36.5,22.0,46.0,2020.0,220.0,9.791666666666666
2020-01-23,Algoma District,9.791666666666666,0.0,0.0,0.0,2187.754821956888,0.0,-84.515,46.485,1.0,23.0,1.0,-0.55,0.25,17.75,0.0,0.0,3.4,2.45,41.0,9.0,32.0,2020.0,90.0,5.416666666666667
2020-01-24,Algoma District,5.416666666666667,0.0,0.0,0.0,2328.609386501841,0.0,-84.515,46.485,1.0,24.0,2.5,-0.6499999999999999,0.95,17.05,0.0,0.4,0.4,0.6000000000000001,42.5,10.0,43.0,2020.0,100.0,4.083333333333333
2020-01-25,Algoma District,4.083333333333333,0.0,0.0,0.0,2273.0132832378777,0.0,-84.515,46.485,1.0,25.0,2.1,0.1,1.1,16.9,0.0,1.0,3.0,4.800000000000001,42.0,8.5,37.0,2020.0,85.0,1.4583333333333333
2020-01-26,Algoma District,1.4583333333333333,0.0,0.0,0.0,2263.9619667234983,0.0,-84.515,46.485,1.0,26.0,0.7,-2.4,-0.85,18.85,0.0,0.0,2.4,1.45,37.5,32.5,36.0,2020.0,325.0,1.125
2020-01-27,Algoma District,1.125,0.0,0.0,0.0,2225.7351048838395,0.0,-84.515,46.485,1.0,27.0,-0.4499999999999999,-3.25,-1.85,19.85,0.0,0.0,1.0,0.6,38.5,30.0,33.0,2020.0,300.0,1.0833333333333333
2020-01-28,Algoma District,1.0833333333333333,0.0,0.0,0.0,2105.925017024176,0.0,-84.515,46.485,1.0,28.0,-2.75,-6.6,-4.699999999999999,22.700000000000003,0.0,0.0,0.8,0.8999999999999999,39.0,27.0,35.0,2020.0,270.0,1.625
2020-01-29,Algoma District,1.625,0.0,0.0,0.0,2201.0831382847905,0.0,-84.515,46.485,1.0,29.0,-6.050000000000001,-9.55,-7.85,25.85,0.0,0.0,0.0,0.0,39.0,27.0,34.25,2020.0,270.0,2.625
2020-01-30,Algoma District,2.625,0.0,0.0,0.0,2110.945158638386,0.0,-84.515,46.485,1.0,30.0,-2.85,-6.5,-4.699999999999999,22.700000000000003,0.0,0.0,1.0,0.45,39.5,27.0,33.5,2020.0,270.0,11.083333333333334
2020-01-31,Algoma District,11.083333333333334,0.0,0.0,0.0,2186.842891185713,0.0,-84.515,46.485,1.0,31.0,-0.1,-3.05,-1.6,19.6,0.0,0.0,0.8,0.55,39.5,,32.75,2020.0,,8.125
2020-02-01,Algoma District,8.125,0.0,0.0,0.0,1614.391878678549,0.0,-84.515,46.485,2.0,1.0,1.0,-2.4,-0.75,18.75,0.0,0.0,0.8,1.8,39.5,27.0,32.0,2020.0,270.0,5.583333333333333
2020-02-02,Algoma District,5.583333333333333,0.0,0.0,0.0,1465.0441111177283,0.0,-84.515,46.485,2.0,2.0,1.0,-0.85,0.1,17.9,0.0,0.0,4.2,2.25,40.0,30.0,45.0,2020.0,300.0,1.375
2020-02-03,Algoma District,1.375,0.0,0.0,0.0,1629.7275055371294,0.0,-84.515,46.485,2.0,3.0,2.05,-1.4500000000000002,0.3,17.7,0.0,0.0,0.0,0.0,41.0,29.0,46.5,2020.0,290.0,2.333333333333333
2020-02-04,Algoma District,2.333333333333333,0.0,0.0,0.0,1981.2845478935128,0.0,-84.515,46.485,2.0,4.0,-0.55,-8.05,-4.3,22.3,0.0,0.0,3.0,1.25,40.5,30.5,58.0,2020.0,305.0,3.4166666666666665
2020-02-05,Algoma District,3.4166666666666665,0.0,0.0,0.0,2590.7875913489274,0.0,-84.515,46.485,2.0,5.0,-3.8,-12.75,-8.3,26.3,0.0,0.0,0.2,0.0,42.0,22.5,39.5,2020.0,225.0,6.958333333333333
2020-02-06,Algoma District,6.958333333333333,0.0,0.0,0.0,2311.5026154806,0.0,-84.515,46.485,2.0,6.0,-2.05,-14.3,-8.2,26.2,0.0,0.0,0.6,0.6,41.5,22.5,39.0,2020.0,225.0,2.5
2020-02-07,Algoma District,2.5,0.0,0.0,0.0,2311.181667509681,0.0,-84.515,46.485,2.0,7.0,-3.9,-19.8,-11.85,29.85,0.0,0.0,0.4,0.2,42.0,22.5,38.5,2020.0,225.0,2.458333333333333
